id_date,date,day,month,year,day_of_week,day_name,month_name,quarter,weekday_indicator,week_of_year,is_end_of_month,is_end_of_quarter,is_end_of_year,quarter_name,year_month,quarter_year,holiday_indicator
20250215,2025-02-15,15,2,2025,6,Sábado,Febrero,1,Fin de Semana,7,False,False,False,T1,2025-02,T1 2025,No Festivo
20250216,2025-02-16,16,2,2025,7,Domingo,Febrero,1,Fin de Semana,7,False,False,False,T1,2025-02,T1 2025,No Festivo
20250217,2025-02-17,17,2,2025,1,Lunes,Febrero,1,Entre Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250218,2025-02-18,18,2,2025,2,Martes,Febrero,1,Entre Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250219,2025-02-19,19,2,2025,3,Miércoles,Febrero,1,Entre Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250220,2025-02-20,20,2,2025,4,Jueves,Febrero,1,Entre Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250221,2025-02-21,21,2,2025,5,Viernes,Febrero,1,Entre Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250222,2025-02-22,22,2,2025,6,Sábado,Febrero,1,Fin de Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250223,2025-02-23,23,2,2025,7,Domingo,Febrero,1,Fin de Semana,8,False,False,False,T1,2025-02,T1 2025,No Festivo
20250224,2025-02-24,24,2,2025,1,Lunes,Febrero,1,Entre Semana,9,False,False,False,T1,2025-02,T1 2025,No Festivo
20250225,2025-02-25,25,2,2025,2,Martes,Febrero,1,Entre Semana,9,False,False,False,T1,2025-02,T1 2025,No Festivo
20250226,2025-02-26,26,2,2025,3,Miércoles,Febrero,1,Entre Semana,9,False,False,False,T1,2025-02,T1 2025,No Festivo
20250227,2025-02-27,27,2,2025,4,Jueves,Febrero,1,Entre Semana,9,False,False,False,T1,2025-02,T1 2025,No Festivo
20250228,2025-02-28,28,2,2025,5,Viernes,Febrero,1,Entre Semana,9,True,False,False,T1,2025-02,T1 2025,No Festivo
20250301,2025-03-01,1,3,2025,6,Sábado,Marzo,1,Fin de Semana,9,False,False,False,T1,2025-03,T1 2025,No Festivo
20250302,2025-03-02,2,3,2025,7,Domingo,Marzo,1,Fin de Semana,9,False,False,False,T1,2025-03,T1 2025,No Festivo
20250303,2025-03-03,3,3,2025,1,Lunes,Marzo,1,Entre Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250304,2025-03-04,4,3,2025,2,Martes,Marzo,1,Entre Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250305,2025-03-05,5,3,2025,3,Miércoles,Marzo,1,Entre Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250306,2025-03-06,6,3,2025,4,Jueves,Marzo,1,Entre Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250307,2025-03-07,7,3,2025,5,Viernes,Marzo,1,Entre Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250308,2025-03-08,8,3,2025,6,Sábado,Marzo,1,Fin de Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250309,2025-03-09,9,3,2025,7,Domingo,Marzo,1,Fin de Semana,10,False,False,False,T1,2025-03,T1 2025,No Festivo
20250310,2025-03-10,10,3,2025,1,Lunes,Marzo,1,Entre Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
20250311,2025-03-11,11,3,2025,2,Martes,Marzo,1,Entre Semana,11,False,False,False,T1,2025-03,T1 2025,No Festivo
